|@id|@type|CompanyNumber|ComptesDeResultats|CorporateShareholders|IndustryCode|Name|OpenCorporateURL|documentDeReferences|id|shareholdings
18973|/api/corporates/570105|Corporate|393013834|[]|[]|6820B|AMM NIMES|https://opencorporates.com/companies/fr/393013834|[]|570105|[]
18974|/api/corporates/570106|Corporate|527574024|[/api/compte_de_resultats/309423]|[]|4332B|AAB DEPANN TOUT EXPRESS|https://opencorporates.com/companies/fr/527574024|[]|570106|[]
18975|/api/corporates/570107|Corporate|829750538|[]|[]|5610A|THE CORNER|https://opencorporates.com/companies/fr/829750538|[]|570107|[]
18976|/api/corporates/570108|Corporate|837645571|[/api/compte_de_resultats/309424]|[]|7022Z|OT INVEST|https://opencorporates.com/companies/fr/837645571|[]|570108|[]
18977|/api/corporates/570109|Corporate|819667510|[]|[]|6420Z|PCG Financière Automobile|https://opencorporates.com/companies/fr/819667510|[]|570109|[]
18978|/api/corporates/570110|Corporate|817494016|[]|[]|5610C|HINA|https://opencorporates.com/companies/fr/817494016|[]|570110|[]
18979|/api/corporates/570111|Corporate|440741825|[]|[]|2341Z|ROYALCERAM|https://opencorporates.com/companies/fr/440741825|[]|570111|[]
18980|/api/corporates/570112|Corporate|840910277|[/api/compte_de_resultats/309428]|[]|8559A|AJIS SAS|https://opencorporates.com/companies/fr/840910277|[]|570112|[]
18981|/api/corporates/570113|Corporate|808615926|[]|[]|7312Z|IMEDIACENTER|https://opencorporates.com/companies/fr/808615926|[]|570113|[]
18982|/api/corporates/570114|Corporate|798589495|[]|[]|7021Z|BILLY ID|https://opencorporates.com/companies/fr/798589495|[]|570114|[]
18983|/api/corporates/570115|Corporate|414962399|[]|[]|5229B|MARKEN|https://opencorporates.com/companies/fr/414962399|[]|570115|[]
18984|/api/corporates/570116|Corporate|384708764|[]|[]|5819Z|CAP DIFFUSION|https://opencorporates.com/companies/fr/384708764|[]|570116|[]
18985|/api/corporates/570117|Corporate|487683278|[/api/compte_de_resultats/309431]|[]|8130Z|JARDINS DECORS SARL|https://opencorporates.com/companies/fr/487683278|[]|570117|[]
18986|/api/corporates/570118|Corporate|480315399|[]|[]|5829C|QUADRA DIFFUSION|https://opencorporates.com/companies/fr/480315399|[]|570118|[]
18987|/api/corporates/570119|Corporate|793776477|[]|[]|6820B|IMMOBILIERE PROVINCE DE CORSE|https://opencorporates.com/companies/fr/793776477|[]|570119|[]
18988|/api/corporates/570120|Corporate|528137219|[]|[]|4939B|ALT|https://opencorporates.com/companies/fr/528137219|[]|570120|[]
18989|/api/corporates/570121|Corporate|315103630|[]|[]|6619B|TOTAL DEVELOPPEMENT REGIONAL SAS|https://opencorporates.com/companies/fr/315103630|[]|570121|[]
18990|/api/corporates/570122|Corporate|818952350|[]|[]|6420Z|ESCARBELT INVESTISSEMENTS|https://opencorporates.com/companies/fr/818952350|[]|570122|[]
18991|/api/corporates/570123|Corporate|539322750|[/api/compte_de_resultats/309434]|[]|6420Z|SARL HOLDING FINANCIERE GILBERT|https://opencorporates.com/companies/fr/539322750|[]|570123|[]
18992|/api/corporates/570124|Corporate|509580726|[]|[]|9609Z|IDS|https://opencorporates.com/companies/fr/509580726|[]|570124|[]
18993|/api/corporates/570125|Corporate|794584581|[/api/compte_de_resultats/309437]|[]|6420Z|SV CONCEPT|https://opencorporates.com/companies/fr/794584581|[]|570125|[]
18994|/api/corporates/570126|Corporate|527963243|[]|[]|6201Z|CITO INFORMATIQUE|https://opencorporates.com/companies/fr/527963243|[]|570126|[]
18995|/api/corporates/570127|Corporate|515125243|[]|[]|7021Z|INFERENCES|https://opencorporates.com/companies/fr/515125243|[]|570127|[]
18996|/api/corporates/570128|Corporate|500362520|[/api/compte_de_resultats/309439]|[]|5610A|SARL 1 PLACE HENRI BARBUSSE|https://opencorporates.com/companies/fr/500362520|[]|570128|[]
18997|/api/corporates/570129|Corporate|827486648|[]|[]|7022Z|Développement RH et coaching|https://opencorporates.com/companies/fr/827486648|[]|570129|[]
18998|/api/corporates/570130|Corporate|517698361|[]|[]|4910Z|TRANSDEV RAIL PUY DE DOME|https://opencorporates.com/companies/fr/517698361|[]|570130|[]
18999|/api/corporates/570131|Corporate|512546839|[/api/compte_de_resultats/309443, /api/compte_de_resultats/309442]|[]|6832A|MFLG|https://opencorporates.com/companies/fr/512546839|[]|570131|[]
19000|/api/corporates/570132|Corporate|813392073|[]|[]|7112B|FORNELL'INNOV|https://opencorporates.com/companies/fr/813392073|[]|570132|[]
19001|/api/corporates/570133|Corporate|832723811|[]|[]|7111Z|INITIAL CONSULTANTS AUVERGNE|https://opencorporates.com/companies/fr/832723811|[]|570133|[]
19002|/api/corporates/570134|Corporate|487493355|[/api/compte_de_resultats/309444]|[]|7112B|LD9|https://opencorporates.com/companies/fr/487493355|[]|570134|[]
